#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 1;8007415768;Roberto Pablo Garcia Reyes;48;28;19/02/1998;19/02/2026;2;1(A);A1;Alto;1;Narcotrafico
PPL 2;2822997913;Roberto Antonio Cuenca Espinosa;43;19;06/08/2011;06/08/2030;6;1(A);A2;Alto;1;Homicidio
PPL 3;2185771741;Fabian Diego Paredes Reyes;37;22;23/09/2006;23/09/2028;4;1(A);A3;Alto;1;Narcotrafico
PPL 4;5225966312;Dario Antonio Torres Hidalgo;51;33;08/06/1995;08/06/2028;4;1(A);A4;Alto;1;Narcotrafico
PPL 5;8866922156;Victor Diego Cuenca Sanchez;60;44;05/11/1985;05/11/2029;5;1(A);A5;Alto;1;Homicidio
PPL 6;7957516639;Dario Julian Cuenca Hidalgo;34;16;02/04/2013;02/04/2029;5;1(A);A6;Alto;1;Homicidio
PPL 7;9327761697;Gonzalo Cesar Paredes Sanchez;52;36;01/02/1991;01/02/2027;3;1(A);A7;Alto;1;Narcotrafico
PPL 8;2322378036;Victor Cesar Paredes Gomez;44;14;23/12/2017;23/12/2031;7;1(A);A8;Alto;1;Narcotrafico
PPL 9;6028878690;Fabian Adrian Torres Reyes;39;25;09/03/2004;09/03/2029;5;1(A);A9;Alto;1;Homicidio
PPL 10;3230866915;Mario Julian Paredes Roman;53;39;12/04/1991;12/04/2030;6;1(A);A10;Alto;1;Narcotrafico
PPL 11;6935533638;Roberto Cesar Paredes Reyes;63;43;02/04/1983;02/04/2026;2;1(A);A11;Alto;1;Homicidio
PPL 12;8572764013;Michael Antonio Paredes Gomez;56;41;20/11/1987;20/11/2028;4;1(A);A12;Alto;1;Homicidio
PPL 13;8261318507;Dario Julian Garcia Sanchez;35;21;23/05/2009;23/05/2030;6;1(A);A13;Alto;1;Homicidio
PPL 14;5790960939;Victor Diego Romero Sanchez;59;45;12/01/1984;12/01/2029;5;1(A);A14;Alto;1;Homicidio
PPL 15;2130984801;Gonzalo Sergio Guerrero Sanchez;61;46;08/05/1984;08/05/2030;6;1(A);A15;Alto;1;Homicidio
PPL 16;6929348242;Victor Paulo Paredes Sanchez;51;31;05/10/1995;05/10/2026;2;1(A);A16;Alto;1;Narcotrafico
PPL 17;4412253126;Mario Paulo Paredes Hidalgo;48;35;19/01/1995;19/01/2030;6;1(A);A17;Alto;1;Narcotrafico
PPL 18;1505149626;Mario Antonio Torres Roman;30;22;08/05/2013;08/05/2035;11;1(A);A18;Alto;1;Narcotrafico
PPL 19;1682694997;Roberto Cesar Romero Roman;26;29;10/10/2018;10/10/2047;23;1(A);A19;Alto;1;Homicidio
PPL 20;5594339919;Carlos Cesar Torres Sanchez;44;28;29/12/2022;29/12/2050;26;1(A);A20;Alto;1;Homicidio
PPL 21;5470934536;Fabian Antonio Paredes Sanchez;28;26;06/09/2016;06/09/2042;18;1(A);A21;Alto;1;Homicidio
PPL 22;1328975192;Pedro Angel Torres Roman;27;19;31/02/2023;31/02/2042;18;1(A);A22;Alto;1;Narcotrafico
PPL 23;4353246093;Roberto Pablo Gonzales Rivera;63;47;20/08/1980;20/08/2027;3;1(A);A23;Alto;1;Narcotrafico
PPL 24;8284550500;Roberto Adrian Paredes Gomez;61;46;08/09/1982;08/09/2028;4;1(A);A24;Alto;1;Narcotrafico
PPL 25;6849563492;Mario Adrian Torres Sanchez;49;32;14/03/1994;14/03/2026;2;1(A);A25;Alto;1;Homicidio
PPL 26;4949268452;Roberto Cesar Romero Ramirez;43;27;28/02/2001;28/02/2028;4;1(A);A26;Alto;1;Narcotrafico
PPL 27;2600840717;Victor Pablo Romero Reyes;39;23;07/06/2005;07/06/2028;4;1(A);A27;Alto;1;Narcotrafico
PPL 28;5967552926;Pedro Diego Cuenca Reyes;50;10;08/07/2017;08/07/2027;3;1(A);A28;Alto;1;Narcotrafico
PPL 29;4664911622;Dario Cesar Paredes Ramirez;42;24;14/10/2003;14/10/2027;3;1(A);A29;Alto;1;Narcotrafico
PPL 30;1544277003;Roberto Diego Cevallos Rivera;36;20;12/12/2023;12/12/2043;19;1(A);A30;Alto;1;Homicidio
PPL 31;2398031778;Roberto Antonio Gonzales Hidalgo;32;27;09/07/2013;09/07/2040;16;1(A);A31;Alto;1;Narcotrafico
PPL 32;3898680440;Victor Antonio Guerrero Sanchez;48;33;21/05/1995;21/05/2028;4;1(A);A32;Alto;1;Narcotrafico
PPL 33;3828352569;Mario Angel Perero Roman;61;44;27/05/1984;27/05/2028;4;1(A);A33;Alto;1;Homicidio
