#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas); Delito
PPL 81;7383713528;Michael Diego Paredes Gomez;46;17;19/06/2013;19/06/2030;6;2(B);B1;Medio;2;Fraude
PPL 82;6724753807;Roberto Sergio Torres Espinosa;45;28;04/07/2013;04/07/2041;17;2(B);B2;Medio;2;Evasion
PPL 83;5198217562;Carlos Cesar Cuenca Sanchez;41;20;09/04/2013;09/04/2033;9;2(B);B3;Medio;2;Evasion
PPL 84;5183764024;Michael Angel Cevallos Hidalgo;65;48;11/12/1981;11/12/2029;5;2(B);B4;Medio;2;Robo
PPL 85;7468173500;Michael Angel Perero Morales;20;10;03/08/2024;03/08/2034;10;2(B);B5;Medio;2;Evasion
PPL 86;3510376998;Gonzalo Sergio Romero Ramirez;47;32;27/08/1998;27/08/2030;6;2(B);B6;Medio;2;Hurto
PPL 87;2569483909;Gonzalo Diego Perero Sanchez;42;25;23/02/2008;23/02/2033;9;2(B);B7;Medio;2;Hurto
PPL 88;3766996324;Victor Paulo Perero Rivera;47;25;06/04/2006;06/04/2031;7;2(B);B8;Medio;2;Evasion
PPL 89;8526215331;Gonzalo Paulo Cuenca Gomez;42;28;13/07/2001;13/07/2029;5;2(B);B9;Medio;2;Robo
PPL 90;5602758764;Fabian Antonio Cuenca Ramirez;51;37;22/04/1992;22/04/2029;5;2(B);B10;Medio;2;Evasion
PPL 91;8522321546;Dario Angel Cevallos Gomez;44;19;03/12/2007;03/12/2026;2;2(B);B11;Medio;2;Robo
PPL 92;7505411338;Fabian Pablo Romero Reyes;45;13;10/08/2019;10/08/2032;8;2(B);B12;Medio;2;Evasion
PPL 93;6605884390;Michael Paulo Perero Espinosa;36;11;07/10/2017;07/10/2028;4;2(B);B13;Medio;2;Evasion
PPL 94;9667969336;Pedro Cesar Garcia Sanchez;62;46;27/07/1981;27/07/2027;3;2(B);B14;Medio;2;Hurto
PPL 95;1804246430;Pedro Antonio Gonzales Rivera;63;49;03/11/1981;03/11/2030;6;2(B);B15;Medio;2;Robo
PPL 96;2347927209;Fabian Sergio Cevallos Sanchez;47;30;22/07/1997;22/07/2027;3;2(B);B16;Medio;2;Robo
PPL 97;1266965911;Pedro Cesar Torres Espinosa;41;24;07/08/2002;07/08/2026;2;2(B);B17;Medio;2;Hurto
PPL 98;5120873323;Pedro Pablo Paredes Roman;28;20;05/05/2023;05/05/2043;19;2(B);B18;Medio;2;Hurto
PPL 99;8919252556;Roberto Angel Cevallos Ramirez;45;6;03/09/2019;03/09/2025;1;2(B);B19;Medio;2;Robo
PPL 100;91498100047;Carlos Adrian Garcia Ramirez;59;44;27/06/1984;27/06/2028;4;2(B);B20;Medio;2;Evasion
PPL 101;1296739330;Roberto Julian Paredes Roman;63;46;02/02/1980;02/02/2026;2;2(B);B21;Medio;2;Fraude
PPL 102;4458519062;Dario Pablo Garcia Reyes;50;35;24/07/1994;24/07/2029;5;2(B);B22;Medio;2;Robo
PPL 103;2477986940;Victor Sergio Cuenca Rivera;48;32;05/11/1995;05/11/2027;3;2(B);B23;Medio;2;Robo
PPL 104;2914878546;Carlos Adrian Cevallos Reyes;47;11;29/11/2023;29/11/2034;10;2(B);B24;Medio;2;Hurto
PPL 105;8788398161;Michael Angel Paredes Ramirez;61;46;01/11/1983;01/11/2029;5;2(B);B25;Medio;2;Evasion
PPL 106;5226557183;Carlos Antonio Romero Reyes;55;37;13/02/1989;13/02/2026;2;2(B);B26;Medio;2;Robo
PPL 107;6703080352;Roberto Pablo Paredes Sanchez;62;46;08/01/1984;08/01/2030;6;2(B);B27;Medio;2;Fraude
PPL 108;8510810526;Michael Antonio Paredes Sanchez;39;25;17/07/2004;17/07/2029;5;2(B);B28;Medio;2;Robo
PPL 109;7241326908;Michael Antonio Cevallos Sanchez;49;36;31/12/1994;31/12/2030;6;2(B);B29;Medio;2;Robo
PPL 110;4444983464;Dario Antonio Paredes Reyes;41;23;18/07/2014;18/07/2037;13;2(B);B30;Medio;2;Hurto
PPL 111;4385516726;Victor Sergio Torres Rivera;35;23;09/02/2010;09/02/2033;9;2(B);B31;Medio;2;Evasion
PPL 112;8263178021;Victor Julian Paredes Roman;38;19;03/04/2008;03/04/2027;3;2(B);B32;Medio;2;Evasion
