#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 261;4498378752;Fabian Antonio Perero Sanchez;51;33;25/06/1993;25/06/2026;2;3(C);C1;Medio;2;Hurto
PPL 262;7406480475;Dario Pablo Cuenca Rivera;50;33;14/03/1995;14/03/2028;4;3(C);C2;Medio;2;Robo
PPL 263;6903111086;Carlos Cesar Cuenca Hidalgo;41;17;11/09/2009;11/09/2026;2;3(C);C3;Medio;2;Robo
PPL 264;8656612832;Victor Antonio Paredes Reyes;62;45;15/03/1981;15/03/2026;2;3(C);C4;Medio;2;Hurto
PPL 265;3097783028;Roberto Cesar Perero Hidalgo;62;46;12/02/1984;12/02/2030;6;3(C);C5;Medio;2;Evasion
PPL 266;5116725338;Mario Adrian Cuenca Gomez;31;16;31/07/2012;31/07/2028;4;3(C);C6;Medio;2;Evasion
PPL 267;7297828317;Victor Pablo Garcia Gomez;35;30;02/07/2009;02/07/2039;15;3(C);C7;Medio;2;Fraude
PPL 268;9349173145;Victor Pablo Perero Hidalgo;50;37;11/03/1993;11/03/2030;6;3(C);C8;Medio;2;Fraude
PPL 269;9129042085;Victor Julian Torres Hidalgo;55;39;24/03/1988;24/03/2027;3;3(C);C9;Medio;2;Evasion
PPL 270;8990662898;Fabian Adrian Gonzales Espinosa;29;13;14/01/2014;14/01/2027;3;3(C);C10;Medio;2;Evasion
PPL 271;6807440248;Pedro Cesar Cevallos Sanchez;60;44;19/07/1983;19/07/2027;3;3(C);C11;Medio;2;Fraude
PPL 272;2839269188;Michael Paulo Paredes Espinosa;51;32;11/07/1994;11/07/2026;2;3(C);C12;Medio;2;Fraude
PPL 273;2804249570;Victor Angel Paredes Sanchez;52;35;13/06/1991;13/06/2026;2;3(C);C13;Medio;2;Hurto
PPL 274;1259930103;Mario Cesar Paredes Ramirez;49;30;27/08/2005;27/08/2035;11;3(C);C14;Medio;2;Fraude
PPL 275;6246497601;Dario Sergio Torres Reyes;51;37;18/05/1992;18/05/2029;5;3(C);C15;Medio;2;Robo
PPL 276;8240342077;Mario Julian Cevallos Espinosa;60;43;16/03/1983;16/03/2026;2;3(C);C16;Medio;2;Hurto
PPL 277;6068384306;Fabian Sergio Paredes Gomez;36;12;30/10/2015;30/10/2027;3;3(C);C17;Medio;2;Evasion
PPL 278;5676661941;Mario Paulo Perero Reyes;35;18;08/03/2008;08/03/2026;2;3(C);C18;Medio;2;Robo
PPL 279;3953970098;Michael Adrian Garcia Roman;46;30;19/12/2000;19/12/2030;6;3(C);C19;Medio;2;Evasion
PPL 280;2288664765;Carlos Adrian Cuenca Morales;42;24;19/11/2002;19/11/2026;2;3(C);C20;Medio;2;Robo
PPL 281;3806819197;Roberto Angel Cuenca Ramirez;41;19;10/01/2015;10/01/2034;10;3(C);C21;Medio;2;Hurto
PPL 282;1636830131;Michael Pablo Paredes Sanchez;47;33;16/09/1996;16/09/2029;5;3(C);C22;Medio;2;Evasion
PPL 283;2598768158;Mario Paulo Perero Hidalgo;60;42;01/07/1984;01/07/2026;2;3(C);C23;Medio;2;Evasion
PPL 284;6846524219;Mario Julian Gonzales Ramirez;43;28;01/11/2001;01/11/2029;5;3(C);C24;Medio;2;Fraude
