#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 441;7008666179;Roberto Cesar Gonzales Morales;43;19;18/07/2007;18/07/2026;2;4(D);D1;Bajo;4;Amenazas
PPL 442;3344791820;Roberto Julian Paredes Reyes;38;21;15/04/2005;15/04/2026;2;4(D);D2;Bajo;4;Otros
PPL 443;7353211883;Fabian Diego Cuenca Espinosa;36;14;06/03/2013;06/03/2027;3;4(D);D3;Bajo;4;Invasion
PPL 444;9839432843;Fabian Diego Cevallos Sanchez;57;39;14/09/1988;14/09/2027;3;4(D);D4;Bajo;4;Otros
PPL 445;5620810562;Pedro Adrian Gonzales Ramirez;32;19;14/09/2012;14/09/2031;7;4(D);D5;Bajo;4;Estafa
PPL 446;1690490421;Mario Sergio Gonzales Espinosa;59;43;16/10/1986;16/10/2029;5;4(D);D6;Bajo;4;Estafa
PPL 447;9435516367;Roberto Cesar Romero Gomez;35;17;08/11/2009;08/11/2026;2;4(D);D7;Bajo;4;Invasion
PPL 448;6293018324;Roberto Antonio Torres Sanchez;42;24;30/01/2002;30/01/2026;2;4(D);D8;Bajo;4;Amenazas
PPL 449;7843614673;Carlos Paulo Garcia Rivera;43;25;30/06/2003;30/06/2028;4;4(D);D9;Bajo;4;Otros
PPL 450;4995117015;Roberto Diego Romero Morales;65;50;15/02/1980;15/02/2030;6;4(D);D10;Bajo;4;Otros
PPL 451;5499724239;Victor Antonio Cuenca Hidalgo;44;27;19/04/2000;19/04/2027;3;4(D);D11;Bajo;4;Amenazas
PPL 452;4794429774;Pedro Paulo Perero Roman;41;23;07/05/2005;07/05/2028;4;4(D);D12;Bajo;4;Invasion
PPL 453;7231033418;Roberto Antonio Romero Ramirez;66;49;24/05/1980;24/05/2029;5;4(D);D13;Bajo;4;Amenazas
PPL 454;7529097324;Pedro Angel Romero Sanchez;46;28;16/08/2001;16/08/2029;5;4(D);D14;Bajo;4;Otros
PPL 455;1122870749;Carlos Pablo Perero Rivera;66;47;26/01/1980;26/01/2027;3;4(D);D15;Bajo;4;Otros
PPL 456;9564496064;Mario Paulo Romero Gomez;52;34;01/12/1992;01/12/2026;2;4(D);D16;Bajo;4;Amenazas
PPL 457;9956792928;Roberto Julian Torres Sanchez;41;25;19/11/2005;19/11/2030;6;4(D);D17;Bajo;4;Estafa
PPL 458;8860281739;Roberto Diego Paredes Morales;31;16;16/07/2012;16/07/2028;4;4(D);D18;Bajo;4;Amenazas
PPL 459;3214030044;Pedro Sergio Gonzales Rivera;61;44;07/08/1982;07/08/2026;2;4(D);D19;Bajo;4;Otros
PPL 460;4895788969;Michael Antonio Gonzales Sanchez;53;37;29/05/1990;29/05/2027;3;4(D);D20;Bajo;4;Invasion
PPL 461;2198186565;Gonzalo Diego Torres Espinosa;46;31;10/01/1997;10/01/2028;4;4(D);D21;Bajo;4;Estafa
PPL 462;6086258174;Michael Angel Guerrero Sanchez;49;35;28/10/1995;28/10/2030;6;4(D);D22;Bajo;4;Amenazas
PPL 463;5788776839;Dario Paulo Cevallos Gomez;61;46;27/09/1984;27/09/2030;6;4(D);D23;Bajo;4;Invasion
PPL 464;9913787784;Fabian Antonio Paredes Reyes;56;36;01/08/1990;01/08/2026;2;4(D);D24;Bajo;4;Invasion
PPL 465;8861732294;Fabian Sergio Perero Ramirez;45;22;06/10/2017;06/10/2039;15;4(D);D25;Bajo;4;Amenazas
PPL 466;9276663036;Carlos Pablo Gonzales Sanchez;30;20;15/06/2013;15/06/2033;9;4(D);D26;Bajo;4;Estafa
PPL 467;9802930040;Dario Paulo Romero Sanchez;27;27;26/08/2016;26/08/2043;19;4(D);D27;Bajo;4;Otros
PPL 468;7195537782;Carlos Diego Cuenca Gomez;59;39;18/10/1987;18/10/2026;2;4(D);D28;Bajo;4;Estafa
PPL 469;3510825940;Roberto Diego Garcia Rivera;50;13;27/03/2016;27/03/2029;5;4(D);D29;Bajo;4;Estafa
PPL 470;7237173051;Michael Antonio Cuenca Rivera;54;34;14/07/1992;14/07/2026;2;4(D);D30;Bajo;4;Estafa
PPL 471;9227567752;Roberto Paulo Torres Sanchez;34;3;18/11/2023;18/11/2026;2;4(D);D31;Bajo;4;Otros
PPL 472;6859526237;Michael Antonio Perero Reyes;29;30;02/08/2014;02/08/2044;20;4(D);D32;Bajo;4;Otros
PPL 473;8253948328;Victor Pablo Paredes Morales;42;29;18/06/2001;18/06/2030;6;4(D);D33;Bajo;4;Invasion
PPL 474;2171391125;Gonzalo Antonio Guerrero Roman;24;4;12/04/2021;12/04/2025;1;4(D);D34;Bajo;4;Otros
PPL 475;3932899690;Fabian Pablo Guerrero Sanchez;63;43;11/01/1983;11/01/2026;2;4(D);D35;Bajo;4;Amenazas
PPL 476;5418589507;Carlos Antonio Cevallos Espinosa;62;48;14/01/1981;14/01/2029;5;4(D);D36;Bajo;4;Otros
PPL 477;3796477191;Fabian Antonio Torres Morales;65;49;30/11/1980;30/11/2029;5;4(D);D37;Bajo;4;Otros
PPL 478;8811861900;Mario Paulo Romero Hidalgo;61;46;14/05/1984;14/05/2030;6;4(D);D38;Bajo;4;Invasion
PPL 479;3097361159;Gonzalo Angel Paredes Rivera;46;26;27/03/2000;27/03/2026;2;4(D);D39;Bajo;4;Estafa
PPL 480;6403018938;Carlos Antonio Torres Roman;48;31;16/06/1995;16/06/2026;2;4(D);D40;Bajo;4;Estafa
PPL 481;1930476205;Carlos Antonio Cevallos Espinosa;44;26;24/10/2001;24/10/2027;3;4(D);D41;Bajo;4;Amenazas
PPL 482;5949096032;Victor Angel Romero Reyes;46;29;06/11/2000;06/11/2029;5;4(D);D42;Bajo;4;Amenazas
PPL 483;3126981526;Dario Antonio Cevallos Roman;42;28;30/12/2002;30/12/2030;6;4(D);D43;Bajo;4;Otros
PPL 484;1706316273;Carlos Angel Paredes Reyes;35;19;24/11/2008;24/11/2027;3;4(D);D44;Bajo;4;Amenazas
PPL 485;4280986752;Mario Diego Torres Gomez;25;9;03/03/2018;03/03/2027;3;4(D);D45;Bajo;4;Estafa
PPL 486;1732763094;Fabian Adrian Garcia Roman;41;27;06/01/2002;06/01/2029;5;4(D);D46;Bajo;4;Otros
PPL 487;7412743230;Pedro Antonio Paredes Hidalgo;29;19;05/02/2018;05/02/2037;13;4(D);D47;Bajo;4;Otros
PPL 488;4069898416;Mario Diego Torres Ramirez;34;19;11/07/2009;11/07/2028;4;4(D);D48;Bajo;4;Invasion
PPL 489;5865439842;Carlos Diego Cuenca Morales;43;30;17/12/2000;17/12/2030;6;4(D);D49;Bajo;4;Estafa
PPL 490;6953368311;Fabian Antonio Cevallos Gomez;56;41;19/04/1988;19/04/2029;5;4(D);D50;Bajo;4;Estafa
PPL 491;4339352159;Roberto Cesar Torres Rivera;31;16;27/02/2015;27/02/2031;7;4(D);D51;Bajo;4;Amenazas
PPL 492;7135348314;Victor Julian Cuenca Sanchez;44;16;25/05/2013;25/05/2029;5;4(D);D52;Bajo;4;Invasion
PPL 493;6054299454;Gonzalo Antonio Paredes Gomez;54;34;20/07/1992;20/07/2026;2;4(D);D53;Bajo;4;Invasion
PPL 494;1090817058;Mario Antonio Garcia Roman;32;18;29/08/2017;29/08/2035;11;4(D);D54;Bajo;4;Estafa
PPL 495;2407328960;Carlos Pablo Perero Espinosa;63;49;12/12/1980;12/12/2029;5;4(D);D55;Bajo;4;Amenazas
PPL 496;4028919304;Carlos Pablo Perero Sanchez;49;19;15/03/2010;15/03/2029;5;4(D);D56;Bajo;4;Estafa
PPL 497;9791128447;Roberto Pablo Cuenca Hidalgo;46;32;24/05/1998;24/05/2030;6;4(D);D57;Bajo;4;Otros
PPL 498;5202497672;Gonzalo Sergio Garcia Reyes;26;17;24/06/2018;24/06/2035;11;4(D);D58;Bajo;4;Estafa
PPL 499;7344877273;Roberto Sergio Paredes Ramirez;45;19;14/06/2006;14/06/2025;1;4(D);D59;Bajo;4;Amenazas
PPL 500;8480130662;Fabian Cesar Paredes Hidalgo;50;29;13/08/2000;13/08/2029;5;4(D);D60;Bajo;4;Amenazas
PPL 501;4185655187;Mario Pablo Cevallos Sanchez;28;22;03/04/2024;03/04/2046;22;4(D);D61;Bajo;4;Estafa
PPL 502;8553671167;Carlos Paulo Cuenca Reyes;53;34;13/05/1993;13/05/2027;3;4(D);D62;Bajo;4;Amenazas
PPL 503;8537463704;Roberto Antonio Guerrero Espinosa;50;33;01/05/1993;01/05/2026;2;4(D);D63;Bajo;4;Otros
PPL 504;6710038468;Roberto Adrian Paredes Morales;33;18;13/08/2010;13/08/2028;4;4(D);D64;Bajo;4;Otros
PPL 505;5964765158;Pedro Adrian Guerrero Reyes;64;48;23/08/1981;23/08/2029;5;4(D);D65;Bajo;4;Estafa
PPL 506;2719854371;Carlos Antonio Paredes Sanchez;29;18;18/05/2021;18/05/2039;15;4(D);D66;Bajo;4;Amenazas
PPL 507;8318620469;Michael Julian Cevallos Sanchez;46;30;26/08/2004;26/08/2034;10;4(D);D67;Bajo;4;Invasion
PPL 508;4842635924;Michael Pablo Perero Morales;34;20;06/05/2009;06/05/2029;5;4(D);D68;Bajo;4;Estafa
PPL 509;7216791275;Gonzalo Antonio Garcia Espinosa;60;46;10/06/1983;10/06/2029;5;4(D);D69;Bajo;4;Estafa
PPL 510;9724399404;Gonzalo Diego Romero Sanchez;47;31;10/02/1998;10/02/2029;5;4(D);D70;Bajo;4;Otros
PPL 511;3773330795;Roberto Pablo Perero Sanchez;55;42;21/01/1988;21/01/2030;6;4(D);D71;Bajo;4;Estafa
PPL 512;5467120144;Carlos Angel Gonzales Hidalgo;47;32;07/04/1996;07/04/2028;4;4(D);D72;Bajo;4;Invasion
PPL 513;9522653413;Roberto Diego Gonzales Morales;36;20;03/02/2008;03/02/2028;4;4(D);D73;Bajo;4;Invasion
PPL 514;2035939637;Mario Angel Gonzales Ramirez;62;44;08/09/1982;08/09/2026;2;4(D);D74;Bajo;4;Otros
PPL 515;4150181724;Michael Antonio Romero Roman;49;30;28/10/2004;28/10/2034;10;4(D);D75;Bajo;4;Invasion
PPL 516;1516745402;Roberto Cesar Romero Sanchez;37;27;03/10/2007;03/10/2034;10;4(D);D76;Bajo;4;Amenazas
PPL 517;5442854007;Fabian Antonio Perero Roman;33;18;21/09/2014;21/09/2032;8;4(D);D77;Bajo;4;Amenazas
PPL 518;1944313586;Carlos Antonio Romero Rivera;35;20;26/02/2008;26/02/2028;4;4(D);D78;Bajo;4;Otros
PPL 519;7052031090;Gonzalo Paulo Cevallos Gomez;49;36;14/08/1994;14/08/2030;6;4(D);D79;Bajo;4;Otros
PPL 520;5802364725;Roberto Julian Perero Sanchez;60;44;21/09/1986;21/09/2030;6;4(D);D80;Bajo;4;Otros
PPL 521;2847136212;Roberto Sergio Paredes Roman;40;23;29/02/2003;29/02/2026;2;4(D);D81;Bajo;4;Amenazas
PPL 522;1347728343;Michael Cesar Paredes Gomez;62;49;15/04/1981;15/04/2030;6;4(D);D82;Bajo;4;Estafa
PPL 523;2986338168;Roberto Julian Garcia Gomez;30;19;25/10/2019;25/10/2038;14;4(D);D83;Bajo;4;Otros
PPL 524;1636295163;Carlos Sergio Garcia Morales;54;38;18/01/1991;18/01/2029;5;4(D);D84;Bajo;4;Invasion
PPL 525;9622866393;Roberto Paulo Torres Roman;42;28;15/09/2001;15/09/2029;5;4(D);D85;Bajo;4;Invasion
PPL 526;29851100282;Michael Paulo Garcia Ramirez;60;43;17/03/1983;17/03/2026;2;4(D);D86;Bajo;4;Amenazas
PPL 527;8027927975;Michael Cesar Paredes Gomez;37;23;23/01/2006;23/01/2029;5;4(D);D87;Bajo;4;Estafa
PPL 528;8584093269;Pedro Antonio Perero Sanchez;34;21;22/06/2009;22/06/2030;6;4(D);D88;Bajo;4;Otros
PPL 529;6673192520;Dario Diego Paredes Ramirez;47;25;07/12/2023;07/12/2048;24;4(D);D89;Bajo;4;Estafa
PPL 530;8858010412;Roberto Angel Romero Morales;38;19;18/01/2007;18/01/2026;2;4(D);D90;Bajo;4;Otros
PPL 531;9469925400;Fabian Adrian Gonzales Sanchez;49;30;25/03/1996;25/03/2026;2;4(D);D1;Bajo;4;Estafa
PPL 532;9120731073;Mario Paulo Garcia Rivera;52;38;05/09/1992;05/09/2030;6;4(D);D2;Bajo;4;Otros
